#Parameters = {D_center=12; L1=25; L2=2.5; L3=2; L4=18; L_diff=2.83; L_sub=48.06; W_50=1.36; W_sub=48.06; Z_mid=24.03; cm=0.3; ct=12; g_slot=0.8; h1=2; h2=1; h3=2; h4=2; h_sub=9.75; hole_puncher=0.87365; hole_puncher1=1.7; needle_radius=0.635; nutrient_solution=0.01; pipe_OD=50; pipe_Ri=8; pipe_Ro=10; r_SRR=21.2; r_SRR_in=18.8; sigma_fluid=0.5; spacing=0.4; t_PDMS_microstrip=0.35; t_SRR=2; t_gnd=2; t_metal=0.5; t_microstrip=2; t_wall=2; w_channel=2; w_diff=2.83}
#"Frequency / GHz"	"S1,1 (59) [Magnitude / dB]"
#----------------------------------------------
2.0840000000000	-2.7572674091072
2.0880000000000	-2.7753569517017
2.0920000000000	-2.7926750778460
2.0960000000000	-2.8092130044978
2.1000000000000	-2.8249652569079
2.1040000000000	-2.8399298122439
2.1080000000000	-2.8541082292052
2.1120000000000	-2.8675057632015
2.1160000000000	-2.8801314669673
2.1200000000000	-2.8919982767927
2.1240000000000	-2.9031230848806
2.1280000000000	-2.9135267986698
2.1320000000000	-2.9232343883014
2.1360000000000	-2.9322749237386
2.1400000000000	-2.9406816033816
2.1440000000000	-2.9484917763356
2.1480000000000	-2.9557469608061
2.1520000000000	-2.9624928613895
2.1560000000000	-2.9687793883176
2.1600000000000	-2.9746606819897
2.1640000000000	-2.9801951463980
2.1680000000000	-2.9854454953162
2.1720000000000	-2.9904788153901
2.1760000000000	-2.9953666505473
2.1800000000000	-3.0001851124346
2.1840000000000	-3.0050150219141
2.1880000000000	-3.0099420870086
2.1920000000000	-3.0150571230941
2.1960000000000	-3.0204563216165
2.2000000000000	-3.0262415741639
2.2040000000000	-3.0325208593877
2.2080000000000	-3.0394087010461
2.2120000000000	-3.0470267063714
2.2160000000000	-3.0555041950670
2.2200000000000	-3.0649789305479
2.2240000000000	-3.0755979665940
2.2280000000000	-3.0875186244246
2.2320000000000	-3.1009096173841
2.2360000000000	-3.1159523430040
2.2400000000000	-3.1328423652552
2.2440000000000	-3.1517911134036
2.2480000000000	-3.1730278281380
2.2520000000000	-3.1968017906696
2.2560000000000	-3.2233848764521
2.2600000000000	-3.2530744822218
2.2640000000000	-3.2861968834085
2.2680000000000	-3.3231110888974
2.2720000000000	-3.3642132719249
2.2760000000000	-3.4099418699818
2.2800000000000	-3.4607834634378
2.2840000000000	-3.5172795628199
2.2880000000000	-3.5800344590239
2.2920000000000	-3.6497243202121
2.2960000000000	-3.7271077550178
2.3000000000000	-3.8130381056156
2.3040000000000	-3.9084777884835
2.3080000000000	-4.0145150683130
2.3120000000000	-4.1323837357453
2.3160000000000	-4.2634862683439
2.3200000000000	-4.4094211948869
2.3240000000000	-4.5720155678768
2.3280000000000	-4.7533636959025
2.3320000000000	-4.9558736223904
2.3360000000000	-5.1823232992138
2.3400000000000	-5.4359290503803
2.3440000000000	-5.7204298382924
2.3480000000000	-6.0401921589604
2.3520000000000	-6.4003422848034
2.3560000000000	-6.8069352953646
2.3600000000000	-7.2671742015094
2.3640000000000	-7.7896977688863
2.3680000000000	-8.3849622981721
2.3720000000000	-9.0657489611911
2.3760000000000	-9.8478271640344
2.3800000000000	-10.750770362317
2.3840000000000	-11.798767206846
2.3880000000000	-13.020701427016
2.3920000000000	-14.446752916232
2.3960000000000	-16.091716820389
2.4000000000000	-17.892809494499
2.4040000000000	-19.530867754106
2.4080000000000	-20.240636258713
2.4120000000000	-19.475014874393
2.4160000000000	-17.802482610032
2.4200000000000	-15.979609268783
2.4240000000000	-14.315996902765
2.4280000000000	-12.870956744374
2.4320000000000	-11.628800931998
2.4360000000000	-10.559217051951
2.4400000000000	-9.6333853775103
2.4440000000000	-8.8272226018830
2.4480000000000	-8.1212627181013
2.4520000000000	-7.4998379454726
2.4560000000000	-6.9502625678117
2.4600000000000	-6.4621704140221
2.4640000000000	-6.0270080918562
2.4680000000000	-5.6376533769675
2.4720000000000	-5.2881273233717
2.4760000000000	-4.9733750061347
2.4800000000000	-4.6890964000598
2.4840000000000	-4.4316141422515
2.4880000000000	-4.1977687524476
2.4920000000000	-3.9848345836291
2.4960000000000	-3.7904516564942
2.5000000000000	-3.6125698417738
2.5040000000000	-3.4494027725753
2.5080000000000	-3.2993895188218
2.5120000000000	-3.1611625217122
2.5160000000000	-3.0335206249242
2.5200000000000	-2.9154062894996
2.5240000000000	-2.8058862670229
2.5280000000000	-2.7041351486376
2.5320000000000	-2.6094213178452
2.5360000000000	-2.5210949214588
2.5400000000000	-2.4385775415132
2.5440000000000	-2.3613533057077
2.5480000000000	-2.2889612181700
2.5520000000000	-2.2209885283183
2.5560000000000	-2.1570649850657
2.5600000000000	-2.0968578478970
2.5640000000000	-2.0400675464413
2.5680000000000	-1.9864238968753
2.5720000000000	-1.9356827974284
2.5760000000000	-1.8876233369315
2.5800000000000	-1.8420452601438
2.5840000000000	-1.7987667418369
2.5880000000000	-1.7576224285681
2.5920000000000	-1.7184617129581
